patch,NewestCharacter,first,second,third,fourth,fifth,wAvarage,Generalized
3_0,Tighnari,"19,1","27,7","25,8","24,3","16,6","23,26","23,26"
3_1,Cyno,"25,5","28,5","40,3","23,7","18,5","28,55333333","26,20074074"
3_1,Nilou,"47,9","56,5","56,3","54,7","46,5","52,68666667","37,28555556"
3_2,Nahida,"59,8","70,5","77,1","71,9","71,7","68,52","48,96619048"
3_3,Wanderer,"27,5","34,2","30,9","17,9","17,5","28,02","43,50711111"
3_4,Alhaitham,"21,7","64,1","68,7","56,6","58,8","49,53333333","46,61555556"
3_5,Dehya,"15,8","11,1","4,2","3,6","3,7","9,793333333","34,72577778"
3_6,Baizhu,"67,5","53,5","50,6","53,2","59,4","57,94","40,13555556"
4_0,Lyney,44,"47,9","30,1","25,2","12,8","37,67333333","38,43955556"
4_1,Neuvillete,"61,1","83,8","88,6","86,1","72,8","76,76666667","51,83111111"
4_1,Wriothesley,"22,8","23,4","27,2","30,4","23,3","24,88666667","44,67955556"
4_2,Furina,"86,7","89,7","74,2","74,4","79,6","82,88666667","58,50444444"
4_3,Navia,53,"50,8","18,3",17,"47,3","40,29333333","53,25866667"
4_4,Xianyun,"29,9","50,5","35,1","31,9","20,4","36,06666667","47,78044444"
4_5,Chiori,"49,2","53,2","25,2",25,18,"40,16","43,77377778"
4_6,Arlecchino,70,"70,7","38,8","42,7","54,7","59,28666667","48,58311111"
4_7,Clorinde,"44,7","36,1","16,2","20,2","14,7","31,44","41,81688889"
4_7,Sigewinne,"37,3","18,7",16,16,"18,1","23,96","35,98711111"
4_8,Emilie,"38,3","29,9","29,6","26,8","34,2","32,51333333","34,09733333"
5_0,Mualani,"28,9",16,"15,5","12,2","12,8","19,48","28,1"
5_0,Kinich,"31,4","28,6","44,4","53,2","16,3","35,15333333","28,70577778"
5_1,Xilonen,"81,8","83,5","91,1","87,8","86,3","85,21333333","47,60711111"
5_2,Chasca,"58,6","61,9","28,9","22,2","23,8","46,36666667","49,97466667"
5_3,Mauvika,"88,7","68,5","68,1","83,1","79,6","77,84","61,33955556"
5_3,Citlali,"87,5","87,9","82,8","88,5","64,1","85,24","72,14933333"
5_4,Yumemizuki Mizuki,"27,4",5,"0,8","0,6","0,2","10,72","53,73511111"
5_5,Varesa,"29,9","41,1","18,5","23,1","39,7","30,35333333","43,49422222"
5_6,Escoffier,"66,7","95,3","95,6","38,4","31,1","73,96","51,44622222"
5_7,Skirk,90,"27,1","21,8","32,4","19,2","47,18666667","48,63422222"
5_8,Ineffa,"93,3","96,6","87,1","58,4",-,"87,92857143","61,4464127"
6_0,Lauma,"54,8","95,7","93,6",-,-,"78,13333333","70,81428571"
6_0,Flins,85,"54,3",-,-,-,"71,35555556","73,42867725"
6_1,Nefer,"86,9",-,-,-,-,"86,9","78,49106878"