patch,NewestCharacter,first,second,third,fourth,fifth
3_0,Tighnari,"19,1","27,7","25,8","24,3","16,6"
3_1,Cyno,"25,5","28,5","40,3","23,7","18,5"
3_1,Nilou,"47,9","56,5","56,3","54,7","46,5"
3_2,Nahida,"59,8","70,5","77,1","71,9","71,7"
3_3,Wanderer,"27,5","34,2","30,9","17,9","17,5"
3_4,Alhaitham,"21,7","64,1","68,7","56,6","58,8"
3_5,Dehya,"15,8","11,1","4,2","3,6","3,7"
3_6,Baizhu,"67,5","53,5","50,6","53,2","59,4"
4_0,Lyney,44,"47,9","30,1","25,2","12,8"
4_1,Neuvillete,"61,1","83,8","88,6","86,1","72,8"
4_1,Wriothesley,"22,8","23,4","27,2","30,4","23,3"
4_2,Furina,"86,7","89,7","74,2","74,4","79,6"
4_3,Navia,53,"50,8","18,3",17,"47,3"
4_4,Xianyun,"29,9","50,5","35,1","31,9","20,4"
4_5,Chiori,"49,2","53,2","25,2",25,18
4_6,Arlecchino,70,"70,7","38,8","42,7","54,7"
4_7,Clorinde,"44,7","36,1","16,2","20,2","14,7"
4_7,Sigewinne,"37,3","18,7",16,16,"18,1"
4_8,Emilie,"38,3","29,9","29,6","26,8","34,2"
5_0,Mualani,"28,9",16,"15,5","12,2","12,8"
5_0,Kinich,"31,4","28,6","44,4","53,2","16,3"
5_1,Xilonen,"81,8","83,5","91,1","87,8","86,3"
5_2,Chasca,"58,6","61,9","28,9","22,2","23,8"
5_3,Mauvika,"88,7","68,5","68,1","83,1","79,6"
5_3,Citlali,"87,5","87,9","82,8","88,5","64,1"
5_4,Yumemizuki Mizuki,"27,4",5,"0,8","0,6","0,2"
5_5,Varesa,"29,9","41,1","18,5","23,1","39,7"
5_6,Escoffier,"66,7","95,3","95,6","38,4","31,1"
5_7,Skirk,90,"27,1","21,8","32,4","19,2"
5_8,Ineffa,"93,3","96,6","87,1","58,4",-
6_0,Lauma,"54,8","95,7","93,6",-,-
6_0,Flins,85,"54,3",-,-,-
6_1,Nefer,"86,9",-,-,-,-